Timestamp,n-transactions-per-block,difficulty,utxo-count,mvrv,nvt,avg-block-size,n-transactions-excluding-popular,n-unique-addresses,median-confirmation-time,n-payments,miners-revenue,mempool-growth,mempool-size,blocks-size,hash-rate,n-transactions-total,n-payments-per-block,avg-confirmation-time,nvts,transaction-fees-usd,active_account
2018-01-06,2135.99404761905,1931136454487.0,63154522.0,3.31504737616175,6.29503596313579,1.05460916071429,369411.6666666667,890934.3333333334,14.183333333333334,745243.0,46563789.9760972,2096.7,107475049.75,150950.682578,15315924.98259654,289592587.0,4435.970238095239,389.498752922837,10.8458019806412,11572011.1365599,1171151.0
2018-01-07,2156.241966705383,1931136454487.0,63367924.333333336,3.11581498208712,5.785500132615115,1.0546058896631867,352796.0,893465.6666666666,14.3,722274.0,45454019.6915107,1946.4,108864907.0,151124.44201333335,15372032.35377508,289950294.3333333,4458.481481481482,147.7728431142975,10.111601644962729,11585899.3401381,1127763.0
2018-01-08,2176.489885791717,1931136454487.0,63581326.666666664,2.91658258801249,5.27596430209444,1.0546026186120834,345361.0,895997.0,14.1,746807.0,44344249.406924196,1690.11666666667,107597404.0,151298.20144866666,15428139.724953618,290308001.6666667,4498.837349397591,77.3109787078673,9.37740130928426,11599787.5437163,1158246.0
2018-01-09,2196.73780487805,1931136454487.0,63794729.0,2.88312378170458,6.209092387505273,1.05459934756098,337926.0,871335.0,13.9,756350.0,43234479.1223377,1707.56666666667,130757212.0,151471.960884,15482995.332864566,290665709.0,4611.890243902439,99.4581360768638,9.21482669631577,11613675.7472945,1150316.0
2018-01-10,2026.4600347127068,1931136454487.0,63992295.5,2.84966497539667,7.142220472916107,1.0546224845163101,330491.0,846673.0,13.7,722263.0,41746853.5073726,1669.81666666667,132178116.0,151656.181337,15537850.940775512,291013781.6666667,4350.981927710844,89.2089366375114,9.05225208334728,10557134.614446534,1125366.0
2018-01-11,1856.1822645473633,1998842362249.04,64189862.0,2.81620616908876,8.07534855832694,1.05464562147164,304787.0,822011.0,12.361111111111109,668531.0,40259227.8924075,1632.06666666667,133599020.0,151840.40179,15592706.54868646,291361854.3333333,3463.8911917098444,55.6495322468344,8.88967747037879,9500593.481598567,1223960.0
2018-01-12,1685.90449438202,2066548270011.08,64120280.0,2.738985029024275,9.10609533577537,1.05466875842697,279083.0,745354.6666666666,11.02222222222222,614315.0,38771602.2774424,1373.95,136049837.0,152024.622243,15884781.74957146,291709927.0,3451.2078651685392,95.786734375864,8.62184935564919,8444052.3487506,1152553.0
2018-01-13,1731.9874406991232,2134254177773.12,64050698.0,2.66176388895979,10.1368421132238,1.0562225211735368,253379.0,668698.3333333334,9.68333333333333,531250.0,36860670.491680704,1814.85,130191043.0,152191.86698566665,16176856.950456461,291977293.0,3565.4362416107383,83.0668585736849,8.35402124091959,7985303.48898743,943063.0
2018-01-14,1778.0703870162267,2165451998016.4133,63981116.0,2.624768802555475,10.7655824401924,1.0577762839201033,264708.0,592042.0,10.79722222222222,481797.0,34949738.705919,1308.0416666666665,125430672.0,152359.11172833334,16468932.15134146,292244659.0,3108.367741935484,52.0788996920802,8.217803409730909,7526554.62922426,967573.0
2018-01-15,1824.15333333333,2196649818259.7068,63999062.666666664,2.58777371615116,11.394322767161,1.05933004666667,276037.0,650822.0,11.91111111111111,552280.0,33038806.9201573,801.233333333333,120670301.0,152526.356471,16666831.501131961,292512025.0,3681.866666666667,302.892952524538,8.08158557854223,7067805.76946109,952991.0
2018-01-16,1812.4317019910068,2227847638503.0,64017009.333333336,2.4034344768914635,10.23679226098864,1.0565029887219033,287366.0,709602.0,13.025,614848.0,32939182.115031365,1754.85,38460055.5,152694.10668433332,16864730.85092246,292809608.3333333,3866.96855345912,140.42307687646385,7.451919436835823,7257240.57646899,999056.0
2018-01-17,1800.7100706486833,2227847638503.0,64034956.0,2.2190952376317665,9.07926175481628,1.0536759307771366,268731.3333333333,768382.0,13.041666666666666,633004.0,32839557.309905432,1468.56666666667,127132812.5,152861.85689766667,17062630.20071296,293107191.6666667,3790.443113772455,82.905986835642,6.822253295129417,7446675.38347689,1090512.0
2018-01-18,1788.98843930636,2227847638503.0,63947764.0,2.03475599837207,7.92173124864392,1.05084887283237,250096.66666666666,698825.3333333334,13.058333333333334,625250.0,32739932.5047795,1092.4083333333351,120420541.5,153029.607111,17271041.172216095,293404775.0,3614.161849710983,511.857513401463,6.19258715342301,7636110.19048479,1053517.0
2018-01-19,1577.0119007140433,2227847638503.0,63860572.0,2.21703997682717,9.84945793171271,1.05973020042657,231462.0,629268.6666666666,13.075,484734.0,32453699.745876234,716.25,113708270.5,153213.535371,17479452.143719226,293668928.6666667,2937.7818181818184,723.085923095566,6.7072807205854055,6446343.38898303,1027739.0
2018-01-20,1365.0353621217266,2227847638503.0,63773380.0,2.39932395528227,11.7771846147815,1.06861152802077,232642.33333333334,559712.0,12.583333333333332,477418.0,32167466.986972965,1256.13333333333,96180564.0,153397.463631,17687863.11522236,293933082.3333333,2682.123595505618,2061.51026943521,7.2219742877478,5256576.58748127,973522.0
2018-01-21,1153.05882352941,2227847638503.0,63393323.5,2.275434997141413,11.2778857284994,1.07749285561497,233822.66666666666,555664.3333333334,12.091666666666667,437828.0,31881234.2280697,1493.18333333333,114067959.5,153581.391891,18099208.769064743,294197236.0,2341.3262032085563,7961.56763992044,6.844307219900807,4066809.78597951,985139.0
